Data,Temperatura mínima diária,Temperatura máxima diária,Vento constante máximo,Rajada de vento máxima,Precipitação diária total,Espessura de neve,Pressão,Ícone,Descrição
01/01/2021,2°C,6°C,24 Km/h,,"11,6mm",,"1030,0mb",,Chuva
02/01/2021,2°C,14°C,28 Km/h,42 Km/h,"20,5mm",,"1015,0mb",,Chuva
03/01/2021,3°C,14°C,21 Km/h,,"4,8mm",,"1016,8mb",,Chuva
04/01/2021,1°C,8°C,,,"2,2mm",,"1016,0mb",,eventos climáticos não informados
05/01/2021,1°C,8°C,24 Km/h,,0mm,,"1014,1mb",,Chuva
06/01/2021,4°C,7°C,35 Km/h,48 Km/h,"0,7mm",,"1018,6mb",,eventos climáticos não informados
07/01/2021,1°C,8°C,32 Km/h,52 Km/h,0mm,,"1022,1mb",,eventos climáticos não informados
08/01/2021,2°C,5°C,21 Km/h,,0mm,,"1020,6mb",,eventos climáticos não informados
09/01/2021,1°C,2°C,24 Km/h,,0mm,,"1012,4mb",,eventos climáticos não informados
10/01/2021,4°C,5°C,26 Km/h,48 Km/h,0mm,,"1019,3mb",,eventos climáticos não informados
11/01/2021,0°C,4°C,5 Km/h,,0mm,,"1027,0mb",,eventos climáticos não informados
12/01/2021,-1°C,4°C,9 Km/h,,0mm,,"1023,1mb",,eventos climáticos não informados
13/01/2021,-1°C,4°C,9 Km/h,,0mm,,"1020,2mb",,eventos climáticos não informados
14/01/2021,0°C,5°C,11 Km/h,,0mm,,"1011,9mb",,eventos climáticos não informados
15/01/2021,0°C,13°C,11 Km/h,,0mm,,"1011,4mb",,eventos climáticos não informados
16/01/2021,1°C,12°C,24 Km/h,34 Km/h,"4,3mm",,"1002,2mb",,Chuva
17/01/2021,1°C,4°C,,,0mm,,"1004,6mb",,eventos climáticos não informados
18/01/2021,3°C,6°C,15 Km/h,,0mm,,"1008,5mb",,eventos climáticos não informados
19/01/2021,2°C,5°C,15 Km/h,,0mm,,"1019,0mb",,eventos climáticos não informados
20/01/2021,1°C,12°C,45 Km/h,78 Km/h,0mm,,"1018,0mb",,eventos climáticos não informados
21/01/2021,-2°C,1°C,13 Km/h,,0mm,,"1018,8mb",,eventos climáticos não informados
22/01/2021,2°C,8°C,11 Km/h,,0mm,,"1006,5mb",,eventos climáticos não informados
23/01/2021,-1°C,11°C,35 Km/h,58 Km/h,0mm,,"1020,3mb",,Neve
24/01/2021,-4°C,4°C,28 Km/h,42 Km/h,0mm,,"1026,7mb",,eventos climáticos não informados
25/01/2021,-4°C,4°C,16 Km/h,,0mm,,"1020,4mb",,Neve Chuva
26/01/2021,0°C,1°C,16 Km/h,,"4,5mm",,,,Neve Chuva
27/01/2021,3°C,3°C,11 Km/h,,"1,7mm",,"1013,3mb",,Chuva
28/01/2021,2°C,4°C,32 Km/h,46 Km/h,0mm,,"1020,1mb",,eventos climáticos não informados
29/01/2021,-3°C,-1°C,41 Km/h,55 Km/h,0mm,,"1026,3mb",,eventos climáticos não informados
30/01/2021,-4°C,-1°C,24 Km/h,35 Km/h,0mm,,"1027,3mb",,eventos climáticos não informados
31/01/2021,-4°C,4°C,24 Km/h,,"0,7mm",5cm,"1025,1mb",,Nevoeiro Neve
01/02/2021,-2°C,1°C,32 Km/h,45 Km/h,"9,1mm",3cm,"1010,5mb",,Neve Chuva
02/02/2021,0°C,3°C,37 Km/h,52 Km/h,"4,3mm",3cm,"1002,9mb",,Neve
03/02/2021,0°C,1°C,35 Km/h,72 Km/h,1mm,3cm,"1002,6mb",,eventos climáticos não informados
04/02/2021,0°C,4°C,28 Km/h,45 Km/h,0mm,3cm,"1011,7mb",,eventos climáticos não informados
05/02/2021,4°C,6°C,24 Km/h,41 Km/h,0mm,,"1010,5mb",,Chuva
06/02/2021,1°C,7°C,22 Km/h,39 Km/h,0mm,,"1011,7mb",,eventos climáticos não informados
07/02/2021,6°C,7°C,26 Km/h,,0mm,,"1018,3mb",,Chuva
08/02/2021,-3°C,2°C,22 Km/h,35 Km/h,"12,4mm",,"1024,0mb",,eventos climáticos não informados
09/02/2021,-1°C,0°C,11 Km/h,,0mm,,"1027,9mb",,eventos climáticos não informados
10/02/2021,1°C,5°C,24 Km/h,,0mm,,"1024,5mb",,eventos climáticos não informados
11/02/2021,1°C,2°C,13 Km/h,,"5,8mm",,,,Neve Chuva
12/02/2021,-1°C,1°C,22 Km/h,,"3,5mm",,"1026,5mb",,Neve
13/02/2021,-2°C,-1°C,22 Km/h,,0mm,,"1025,5mb",,Neve Chuva
14/02/2021,-2°C,3°C,26 Km/h,,"11,4mm",,"1023,7mb",,Neve Chuva
15/02/2021,2°C,5°C,22 Km/h,,0mm,,"1022,2mb",,Chuva
16/02/2021,2°C,3°C,15 Km/h,,,,,,Chuva
17/02/2021,-3°C,1°C,34 Km/h,55 Km/h,"11,4mm",,"1021,4mb",,eventos climáticos não informados
18/02/2021,-2°C,-1°C,,,0mm,,"1030,5mb",,Neve
19/02/2021,-1°C,-1°C,22 Km/h,,"11,6mm",,"1022,7mb",,Chuva
20/02/2021,-1°C,3°C,34 Km/h,46 Km/h,1mm,,"1022,0mb",,eventos climáticos não informados
21/02/2021,-4°C,-2°C,26 Km/h,41 Km/h,0mm,,"1032,3mb",,eventos climáticos não informados
22/02/2021,1°C,1°C,21 Km/h,,0mm,,"1031,8mb",,eventos climáticos não informados
23/02/2021,-1°C,15°C,35 Km/h,59 Km/h,"10,4mm",,"1009,4mb",,eventos climáticos não informados
24/02/2021,2°C,10°C,11 Km/h,,0mm,,"1016,2mb",,eventos climáticos não informados
25/02/2021,0°C,16°C,42 Km/h,63 Km/h,0mm,,"1017,9mb",,eventos climáticos não informados
26/02/2021,4°C,8°C,9 Km/h,,0mm,,"1026,5mb",,eventos climáticos não informados
27/02/2021,3°C,12°C,24 Km/h,32 Km/h,"7,8mm",,"1023,1mb",,Neve Chuva
28/02/2021,7°C,9°C,13 Km/h,,"4,8mm",,"1024,8mb",,eventos climáticos não informados
01/03/2021,7°C,7°C,5 Km/h,,"21,3mm",,,,Chuva
02/03/2021,1°C,8°C,34 Km/h,63 Km/h,"7,3mm",,"1019,2mb",,eventos climáticos não informados
03/03/2021,1°C,4°C,16 Km/h,,0mm,,"1020,4mb",,eventos climáticos não informados
04/03/2021,5°C,10°C,15 Km/h,,0mm,,"1012,4mb",,eventos climáticos não informados
05/03/2021,-1°C,6°C,35 Km/h,61 Km/h,0mm,,"1017,5mb",,eventos climáticos não informados
06/03/2021,-2°C,8°C,24 Km/h,46 Km/h,0mm,,"1020,4mb",,eventos climáticos não informados
07/03/2021,2°C,4°C,26 Km/h,,0mm,,"1024,4mb",,eventos climáticos não informados
08/03/2021,1°C,5°C,15 Km/h,,0mm,,"1030,3mb",,eventos climáticos não informados
09/03/2021,3°C,8°C,15 Km/h,,0mm,,"1030,5mb",,eventos climáticos não informados
10/03/2021,7°C,14°C,11 Km/h,,0mm,,"1029,0mb",,eventos climáticos não informados
11/03/2021,12°C,16°C,,,0mm,,"1026,6mb",,eventos climáticos não informados
12/03/2021,11°C,26°C,22 Km/h,35 Km/h,0mm,,"1021,0mb",,eventos climáticos não informados
13/03/2021,8°C,22°C,29 Km/h,50 Km/h,0mm,,"1024,8mb",,eventos climáticos não informados
14/03/2021,8°C,18°C,61 Km/h,89 Km/h,0mm,,"1020,2mb",,eventos climáticos não informados
15/03/2021,3°C,12°C,37 Km/h,55 Km/h,0mm,,"1024,4mb",,eventos climáticos não informados
16/03/2021,5°C,6°C,,,0mm,,"1026,9mb",,eventos climáticos não informados
17/03/2021,5°C,6°C,13 Km/h,,0mm,,,,Chuva
18/03/2021,8°C,10°C,11 Km/h,,0mm,,"1019,2mb",,eventos climáticos não informados
19/03/2021,8°C,11°C,35 Km/h,52 Km/h,"9,3mm",,"1008,1mb",,Chuva
20/03/2021,3°C,6°C,26 Km/h,,0mm,,"1031,4mb",,eventos climáticos não informados
21/03/2021,2°C,17°C,16 Km/h,,0mm,,"1033,8mb",,eventos climáticos não informados
22/03/2021,7°C,12°C,13 Km/h,,0mm,,"1030,8mb",,eventos climáticos não informados
23/03/2021,8°C,13°C,13 Km/h,,0mm,,"1024,6mb",,eventos climáticos não informados
24/03/2021,12°C,16°C,15 Km/h,,0mm,,"1021,0mb",,Chuva
25/03/2021,13°C,15°C,13 Km/h,,"42,9mm",,,,Nevoeiro Chuva
26/03/2021,16°C,29°C,42 Km/h,65 Km/h,0mm,,"1010,9mb",,eventos climáticos não informados
27/03/2021,13°C,19°C,24 Km/h,41 Km/h,0mm,,"1018,4mb",,eventos climáticos não informados
28/03/2021,14°C,17°C,24 Km/h,,0mm,,"1017,1mb",,eventos climáticos não informados
29/03/2021,8°C,16°C,45 Km/h,66 Km/h,"13,4mm",,"1011,4mb",,eventos climáticos não informados
30/03/2021,8°C,13°C,11 Km/h,,0mm,,"1025,8mb",,eventos climáticos não informados
31/03/2021,13°C,15°C,21 Km/h,,0mm,,"1022,7mb",,eventos climáticos não informados
01/04/2021,5°C,19°C,48 Km/h,66 Km/h,"28,1mm",,"1014,9mb",,Chuva
02/04/2021,1°C,4°C,39 Km/h,55 Km/h,"4,8mm",,"1022,7mb",,eventos climáticos não informados
03/04/2021,-1°C,14°C,22 Km/h,,0mm,,"1029,1mb",,eventos climáticos não informados
04/04/2021,7°C,22°C,28 Km/h,48 Km/h,0mm,,"1021,1mb",,eventos climáticos não informados
05/04/2021,12°C,19°C,,,0mm,,"1018,0mb",,eventos climáticos não informados
06/04/2021,13°C,17°C,9 Km/h,,0mm,,"1015,4mb",,eventos climáticos não informados
07/04/2021,14°C,19°C,9 Km/h,,0mm,,"1015,0mb",,eventos climáticos não informados
08/04/2021,16°C,20°C,13 Km/h,,0mm,,"1015,5mb",,eventos climáticos não informados
09/04/2021,13°C,16°C,,,0mm,,"1018,2mb",,Chuva
10/04/2021,13°C,15°C,,,0mm,,"1017,8mb",,eventos climáticos não informados
11/04/2021,16°C,18°C,11 Km/h,,"0,7mm",,"1005,2mb",,Chuva
12/04/2021,16°C,21°C,21 Km/h,,"2,7mm",,"1000,8mb",,eventos climáticos não informados
13/04/2021,11°C,12°C,,,2mm,,"1014,3mb",,Chuva
14/04/2021,12°C,15°C,13 Km/h,,0mm,,"1019,4mb",,eventos climáticos não informados
15/04/2021,13°C,14°C,,,"7,6mm",,"1011,9mb",,Chuva
16/04/2021,8°C,12°C,32 Km/h,50 Km/h,0mm,,"1009,7mb",,eventos climáticos não informados
17/04/2021,8°C,12°C,24 Km/h,42 Km/h,0mm,,"1010,2mb",,eventos climáticos não informados
18/04/2021,9°C,13°C,13 Km/h,,0mm,,"1011,7mb",,eventos climáticos não informados
19/04/2021,8°C,20°C,,,0mm,,"1011,8mb",,Chuva
20/04/2021,10°C,13°C,11 Km/h,,"0,2mm",,"1013,7mb",,eventos climáticos não informados
21/04/2021,16°C,19°C,24 Km/h,39 Km/h,0mm,,"1009,9mb",,eventos climáticos não informados
22/04/2021,3°C,7°C,26 Km/h,54 Km/h,0mm,,"1014,7mb",,eventos climáticos não informados
23/04/2021,2°C,17°C,24 Km/h,48 Km/h,0mm,,"1019,8mb",,eventos climáticos não informados
24/04/2021,3°C,18°C,16 Km/h,,0mm,,"1018,1mb",,eventos climáticos não informados
25/04/2021,11°C,19°C,37 Km/h,50 Km/h,"21,8mm",,"1009,5mb",,Chuva
26/04/2021,8°C,21°C,28 Km/h,42 Km/h,0mm,,"1017,8mb",,eventos climáticos não informados
27/04/2021,11°C,29°C,32 Km/h,41 Km/h,0mm,,"1017,7mb",,eventos climáticos não informados
28/04/2021,18°C,31°C,24 Km/h,39 Km/h,0mm,,"1012,6mb",,eventos climáticos não informados
29/04/2021,21°C,24°C,15 Km/h,,0mm,,"1010,2mb",,eventos climáticos não informados
30/04/2021,19°C,27°C,46 Km/h,65 Km/h,"0,2mm",,"1001,7mb",,Chuva
01/05/2021,8°C,23°C,42 Km/h,68 Km/h,0mm,,"1015,3mb",,eventos climáticos não informados
02/05/2021,8°C,28°C,32 Km/h,46 Km/h,0mm,,"1011,5mb",,eventos climáticos não informados
03/05/2021,19°C,22°C,16 Km/h,,0mm,,"1009,4mb",,eventos climáticos não informados
04/05/2021,20°C,22°C,26 Km/h,37 Km/h,"1,5mm",,"1005,5mb",,Chuva
05/05/2021,18°C,19°C,13 Km/h,,"12,1mm",,"1006,5mb",,eventos climáticos não informados
06/05/2021,12°C,16°C,32 Km/h,46 Km/h,"1,5mm",,"1014,7mb",,eventos climáticos não informados
07/05/2021,10°C,17°C,5 Km/h,,0mm,,"1014,5mb",,eventos climáticos não informados
08/05/2021,8°C,12°C,16 Km/h,,"1,2mm",,"1012,8mb",,eventos climáticos não informados
09/05/2021,9°C,20°C,28 Km/h,42 Km/h,"0,2mm",,"1017,5mb",,eventos climáticos não informados
10/05/2021,8°C,22°C,34 Km/h,48 Km/h,0mm,,"1011,4mb",,Chuva
11/05/2021,12°C,15°C,13 Km/h,,0mm,,"1018,1mb",,eventos climáticos não informados
12/05/2021,11°C,17°C,24 Km/h,34 Km/h,0mm,,"1022,4mb",,eventos climáticos não informados
13/05/2021,11°C,16°C,11 Km/h,,0mm,,"1023,7mb",,eventos climáticos não informados
14/05/2021,12°C,18°C,13 Km/h,,0mm,,"1024,0mb",,eventos climáticos não informados
15/05/2021,12°C,18°C,15 Km/h,,0mm,,"1023,6mb",,eventos climáticos não informados
16/05/2021,11°C,26°C,,41 Km/h,0mm,,"1024,5mb",,Chuva
17/05/2021,14°C,17°C,13 Km/h,,0mm,,"1025,2mb",,eventos climáticos não informados
18/05/2021,13°C,26°C,,,0mm,,"1027,4mb",,eventos climáticos não informados
19/05/2021,16°C,21°C,15 Km/h,,0mm,,"1026,8mb",,eventos climáticos não informados
20/05/2021,18°C,23°C,13 Km/h,,0mm,,"1027,3mb",,eventos climáticos não informados
21/05/2021,17°C,21°C,16 Km/h,,0mm,,"1032,5mb",,eventos climáticos não informados
22/05/2021,18°C,23°C,15 Km/h,,0mm,,"1029,3mb",,eventos climáticos não informados
23/05/2021,26°C,28°C,,29 Km/h,0mm,,"1020,4mb",,eventos climáticos não informados
24/05/2021,26°C,31°C,21 Km/h,,0mm,,"1016,7mb",,eventos climáticos não informados
25/05/2021,15°C,16°C,15 Km/h,,"8,6mm",,"1025,9mb",,eventos climáticos não informados
26/05/2021,21°C,23°C,16 Km/h,,0mm,,"1020,5mb",,eventos climáticos não informados
27/05/2021,21°C,23°C,45 Km/h,63 Km/h,"22,8mm",,"1015,2mb",,Tempestade de raios Chuva
28/05/2021,22°C,26°C,11 Km/h,,0mm,,"1015,6mb",,eventos climáticos não informados
29/05/2021,14°C,18°C,26 Km/h,35 Km/h,"29,4mm",,,,Chuva
30/05/2021,11°C,12°C,29 Km/h,45 Km/h,"13,4mm",,"1019,6mb",,Chuva
31/05/2021,10°C,13°C,21 Km/h,,"3,8mm",,"1024,0mb",,eventos climáticos não informados
01/06/2021,15°C,16°C,8 Km/h,,0mm,,"1025,2mb",,eventos climáticos não informados
02/06/2021,19°C,22°C,16 Km/h,,0mm,,"1023,5mb",,eventos climáticos não informados
03/06/2021,19°C,27°C,22 Km/h,,0mm,,"1019,6mb",,Chuva
04/06/2021,21°C,22°C,24 Km/h,35 Km/h,"2,5mm",,"1014,6mb",,Chuva
05/06/2021,21°C,25°C,11 Km/h,,"1,2mm",,"1015,4mb",,eventos climáticos não informados
06/06/2021,23°C,27°C,15 Km/h,,0mm,,"1017,0mb",,eventos climáticos não informados
07/06/2021,25°C,28°C,13 Km/h,,0mm,,"1018,1mb",,eventos climáticos não informados
08/06/2021,26°C,28°C,15 Km/h,,0mm,,"1017,8mb",,eventos climáticos não informados
09/06/2021,26°C,28°C,9 Km/h,,0mm,,"1017,0mb",,eventos climáticos não informados
10/06/2021,24°C,28°C,21 Km/h,,0mm,,"1015,8mb",,eventos climáticos não informados
11/06/2021,20°C,24°C,22 Km/h,,"25,1mm",,"1013,8mb",,Chuva
12/06/2021,19°C,20°C,22 Km/h,35 Km/h,"45,7mm",,"1009,8mb",,eventos climáticos não informados
13/06/2021,20°C,24°C,13 Km/h,,0mm,,"1012,2mb",,eventos climáticos não informados
14/06/2021,20°C,31°C,22 Km/h,,0mm,,"1010,3mb",,eventos climáticos não informados
15/06/2021,19°C,27°C,50 Km/h,72 Km/h,"46,4mm",,"1007,9mb",,Tempestade de raios Chuva
16/06/2021,21°C,24°C,22 Km/h,,0mm,,"1011,0mb",,eventos climáticos não informados
17/06/2021,18°C,24°C,21 Km/h,29 Km/h,0mm,,"1015,0mb",,eventos climáticos não informados
18/06/2021,17°C,24°C,11 Km/h,,0mm,,"1018,0mb",,eventos climáticos não informados
19/06/2021,24°C,26°C,,,0mm,,"1011,6mb",,eventos climáticos não informados
20/06/2021,24°C,27°C,16 Km/h,,4mm,,"1010,1mb",,Chuva
21/06/2021,24°C,28°C,22 Km/h,,"0,2mm",,"1008,3mb",,eventos climáticos não informados
22/06/2021,23°C,27°C,28 Km/h,52 Km/h,"1,2mm",,"1005,1mb",,Tempestade de raios Chuva
23/06/2021,15°C,20°C,13 Km/h,,"8,6mm",,"1016,9mb",,eventos climáticos não informados
24/06/2021,16°C,21°C,15 Km/h,,0mm,,"1026,0mb",,eventos climáticos não informados
25/06/2021,18°C,23°C,15 Km/h,,0mm,,"1026,0mb",,eventos climáticos não informados
26/06/2021,17°C,29°C,24 Km/h,39 Km/h,"3,5mm",,"1022,6mb",,Chuva
27/06/2021,23°C,32°C,29 Km/h,45 Km/h,0mm,,"1021,7mb",,eventos climáticos não informados
28/06/2021,23°C,32°C,22 Km/h,,0mm,,"1023,1mb",,eventos climáticos não informados
29/06/2021,25°C,29°C,,,0mm,,"1024,1mb",,eventos climáticos não informados
30/06/2021,26°C,30°C,15 Km/h,,0mm,,"1021,1mb",,eventos climáticos não informados
01/07/2021,22°C,35°C,65 Km/h,92 Km/h,"0,7mm",,"1012,7mb",,Nevoeiro Tempestade de raios Chuva
02/07/2021,21°C,33°C,61 Km/h,84 Km/h,"34,5mm",,"1008,7mb",,Tempestade de raios Chuva
03/07/2021,17°C,28°C,26 Km/h,42 Km/h,"2,2mm",,"1009,5mb",,eventos climáticos não informados
04/07/2021,17°C,29°C,22 Km/h,39 Km/h,0mm,,"1012,3mb",,Chuva
05/07/2021,23°C,27°C,11 Km/h,,0mm,,"1015,0mb",,eventos climáticos não informados
06/07/2021,24°C,28°C,16 Km/h,,0mm,,"1017,9mb",,eventos climáticos não informados
07/07/2021,27°C,30°C,16 Km/h,,0mm,,"1015,7mb",,eventos climáticos não informados
08/07/2021,28°C,30°C,16 Km/h,,0mm,,"1013,9mb",,eventos climáticos não informados
09/07/2021,22°C,24°C,28 Km/h,41 Km/h,6mm,,"1010,7mb",,Chuva
10/07/2021,22°C,25°C,15 Km/h,,"29,2mm",,"1014,3mb",,eventos climáticos não informados
11/07/2021,24°C,32°C,26 Km/h,,0mm,,"1017,0mb",,eventos climáticos não informados
12/07/2021,26°C,29°C,16 Km/h,,0mm,,"1016,3mb",,eventos climáticos não informados
13/07/2021,26°C,34°C,32 Km/h,42 Km/h,0mm,,"1020,9mb",,eventos climáticos não informados
14/07/2021,27°C,29°C,22 Km/h,,0mm,,"1020,8mb",,eventos climáticos não informados
15/07/2021,23°C,24°C,22 Km/h,,0mm,,"1021,0mb",,eventos climáticos não informados
16/07/2021,27°C,29°C,15 Km/h,,0mm,,"1016,9mb",,eventos climáticos não informados
17/07/2021,27°C,30°C,16 Km/h,,0mm,,"1016,8mb",,eventos climáticos não informados
18/07/2021,24°C,29°C,11 Km/h,,0mm,,"1015,7mb",,eventos climáticos não informados
19/07/2021,24°C,25°C,16 Km/h,,0mm,,"1017,9mb",,eventos climáticos não informados
20/07/2021,24°C,27°C,15 Km/h,,0mm,,"1015,8mb",,eventos climáticos não informados
21/07/2021,25°C,29°C,,,0mm,,"1012,5mb",,eventos climáticos não informados
22/07/2021,21°C,27°C,26 Km/h,,"11,4mm",,"1017,1mb",,eventos climáticos não informados
23/07/2021,22°C,26°C,9 Km/h,,0mm,,"1021,1mb",,eventos climáticos não informados
24/07/2021,22°C,26°C,11 Km/h,,0mm,,"1020,1mb",,eventos climáticos não informados
25/07/2021,21°C,33°C,26 Km/h,37 Km/h,"0,7mm",,"1014,4mb",,Chuva
26/07/2021,24°C,36°C,26 Km/h,79 Km/h,0mm,,"1012,8mb",,Tempestade de raios Chuva
27/07/2021,23°C,24°C,26 Km/h,54 Km/h,"9,3mm",,"1014,7mb",,Tempestade de raios Chuva
28/07/2021,24°C,31°C,11 Km/h,,0mm,,"1014,6mb",,eventos climáticos não informados
29/07/2021,23°C,28°C,24 Km/h,35 Km/h,"11,4mm",,"1015,4mb",,Tempestade de raios Chuva
30/07/2021,24°C,26°C,13 Km/h,,"4,8mm",,"1009,0mb",,eventos climáticos não informados
31/07/2021,23°C,28°C,22 Km/h,,0mm,,"1014,6mb",,eventos climáticos não informados
01/08/2021,21°C,28°C,22 Km/h,,"8,1mm",,"1012,3mb",,Chuva
02/08/2021,19°C,28°C,22 Km/h,34 Km/h,"0,7mm",,"1015,0mb",,Chuva
03/08/2021,21°C,24°C,11 Km/h,,0mm,,"1019,1mb",,eventos climáticos não informados
04/08/2021,21°C,23°C,11 Km/h,,0mm,,"1019,0mb",,eventos climáticos não informados
05/08/2021,19°C,24°C,9 Km/h,,0mm,,"1019,5mb",,eventos climáticos não informados
06/08/2021,22°C,32°C,24 Km/h,34 Km/h,0mm,,"1021,0mb",,eventos climáticos não informados
07/08/2021,22°C,27°C,,,0mm,,"1019,9mb",,eventos climáticos não informados
08/08/2021,21°C,22°C,16 Km/h,,6mm,,"1016,9mb",,eventos climáticos não informados
09/08/2021,23°C,27°C,16 Km/h,,0mm,,"1019,0mb",,eventos climáticos não informados
10/08/2021,25°C,26°C,21 Km/h,,0mm,,"1019,8mb",,eventos climáticos não informados
11/08/2021,24°C,26°C,13 Km/h,,"16,5mm",,"1018,4mb",,Chuva
12/08/2021,23°C,36°C,26 Km/h,,1mm,,"1017,4mb",,Chuva
13/08/2021,28°C,32°C,16 Km/h,,0mm,,"1016,6mb",,Tempestade de raios Chuva
14/08/2021,24°C,24°C,13 Km/h,,"2,2mm",,"1018,7mb",,Chuva
15/08/2021,23°C,30°C,39 Km/h,50 Km/h,"60,4mm",,"1020,0mb",,Tempestade de raios Chuva
16/08/2021,24°C,26°C,9 Km/h,,6mm,,"1021,2mb",,eventos climáticos não informados
17/08/2021,23°C,25°C,46 Km/h,59 Km/h,19mm,,"1020,3mb",,Tempestade de raios Chuva
18/08/2021,26°C,28°C,16 Km/h,,"14,9mm",,"1020,4mb",,Chuva
19/08/2021,25°C,28°C,,,"9,1mm",,"1016,8mb",,eventos climáticos não informados
20/08/2021,22°C,33°C,22 Km/h,,"23,8mm",,"1013,8mb",,Chuva
21/08/2021,24°C,26°C,9 Km/h,,"57,9mm",,"1012,8mb",,eventos climáticos não informados
22/08/2021,24°C,27°C,5 Km/h,,"5,3mm",,"1012,0mb",,eventos climáticos não informados
23/08/2021,24°C,25°C,13 Km/h,,0mm,,"1011,7mb",,Chuva
24/08/2021,23°C,34°C,24 Km/h,37 Km/h,"0,5mm",,"1014,7mb",,Chuva
25/08/2021,25°C,28°C,26 Km/h,,0mm,,"1017,2mb",,eventos climáticos não informados
26/08/2021,24°C,30°C,13 Km/h,,"0,2mm",,"1019,8mb",,Chuva
27/08/2021,26°C,27°C,5 Km/h,,"14,7mm",,"1019,4mb",,eventos climáticos não informados
28/08/2021,24°C,34°C,24 Km/h,,"6,6mm",,"1020,7mb",,eventos climáticos não informados
29/08/2021,23°C,27°C,22 Km/h,,0mm,,"1022,6mb",,eventos climáticos não informados
30/08/2021,24°C,26°C,9 Km/h,,0mm,,"1017,6mb",,eventos climáticos não informados
